"";"newcol";"newcol";"newcol";"newcol"
"1";2;0;0;0
"2";2;5;7;7
"3";2;5;6;9
"4";2;5;6;9
"5";2;5;6;9
"6";2;5;6;9
"7";2;5;6;9
"8";0;0;0;0
"9";2;5;6;9
"10";2;5;6;9
"11";2;5;6;9
"12";2;5;6;9
"13";2;5;6;9
"14";2;5;6;9
"15";2;5;6;9
"16";0;0;0;0
"17";2;5;6;9
"18";2;5;6;9
"19";2;5;6;9
"20";2;5;6;9
"21";2;5;6;9
"22";0;0;0;0
"23";2;5;6;9
"24";2;5;6;9
"25";2;5;6;9
"26";2;0;0;0
"27";2;5;6;9
"28";2;5;6;9
"29";2;5;6;9
"30";2;5;7;7
"31";2;5;6;8
"32";2;5;6;9
"33";2;5;6;9
"34";2;5;6;9
"35";2;5;6;8
"36";2;5;7;7
"37";2;5;6;9
"38";2;5;6;9
"39";2;5;6;9
"40";2;5;6;9
"41";2;5;6;8
"42";0;0;0;0
"43";2;5;6;9
"44";0;0;0;0
"45";2;5;6;9
"46";2;0;0;0
"47";2;5;6;9
"48";2;5;6;9
"49";2;5;6;9
"50";2;5;6;9
"51";2;5;6;9
"52";2;5;6;9
"53";2;5;6;9
"54";2;5;6;9
"55";2;5;6;9
"56";2;5;6;9
"57";2;5;6;9
"58";2;5;6;9
"59";2;5;6;9
"60";2;5;6;9
"61";2;5;6;9
"62";2;5;6;9
"63";2;5;6;9
"64";2;5;6;9
"65";2;5;6;9
"66";2;5;6;9
"67";2;5;6;9
"68";2;5;6;9
"69";2;5;6;9
"70";2;5;6;9
"71";2;5;6;9
"72";2;5;6;9
"73";2;5;6;9
"74";2;5;6;9
"75";2;5;6;9
"76";2;5;6;9
"77";2;5;6;9
"78";2;5;6;9
"79";2;5;6;9
"80";2;5;6;9
"81";0;0;0;0
"82";2;5;6;9
"83";2;5;6;9
"84";2;5;6;9
"85";2;5;6;9
"86";2;5;6;9
"87";2;5;6;9
"88";2;5;6;9
"89";2;5;6;9
"90";2;5;6;9
"91";2;5;6;9
"92";2;5;7;7
"93";2;5;6;9
"94";2;5;6;9
"95";2;5;6;9
"96";2;5;6;9
"97";2;5;6;9
"98";2;5;6;9
"99";2;0;0;0
"100";2;5;6;9
"101";2;5;6;9
"102";2;5;6;9
"103";2;5;6;9
"104";2;5;6;9
"105";2;5;6;9
"106";2;5;6;9
"107";2;5;6;9
"108";2;5;6;9
"109";2;5;6;9
"110";0;0;0;0
"111";2;5;6;9
"112";2;5;6;9
"113";2;5;6;9
"114";2;5;6;9
"115";2;5;6;9
"116";0;0;0;0
"117";2;5;6;9
"118";2;5;6;9
"119";2;5;6;9
"120";2;5;6;9
"121";2;5;6;9
"122";3;3;3;3
"123";2;5;6;9
"124";2;5;6;9
"125";2;5;6;9
"126";2;5;6;9
"127";2;4;4;4
"128";2;5;6;9
"129";2;5;6;9
"130";2;5;6;9
"131";2;5;6;9
"132";2;5;6;9
"133";0;0;0;0
"134";0;0;0;0
"135";2;5;6;9
"136";2;5;6;9
"137";2;5;6;9
"138";2;5;6;9
"139";2;5;6;9
"140";2;4;4;4
"141";2;5;6;9
"142";2;5;6;9
"143";2;0;0;0
"144";2;5;6;9
"145";3;3;3;3
"146";2;0;0;0
"147";2;5;6;9
"148";2;5;6;9
"149";2;5;6;9
"150";2;5;6;9
"151";3;3;3;3
"152";2;5;6;9
"153";2;5;6;9
"154";2;5;6;9
"155";2;5;6;9
"156";2;5;6;9
"157";2;5;6;9
"158";2;5;6;9
"159";2;5;6;9
"160";2;5;6;9
"161";2;5;6;9
"162";2;5;6;9
"163";2;5;6;9
"164";2;5;6;9
"165";2;5;6;9
"166";2;5;6;9
"167";2;5;6;9
"168";2;5;6;9
"169";2;5;6;9
"170";2;5;6;9
"171";2;5;6;9
"172";2;5;6;9
"173";2;5;6;9
"174";2;5;6;9
"175";2;5;6;9
"176";2;5;6;9
"177";2;5;6;9
"178";2;5;6;9
"179";2;5;6;9
"180";2;5;6;9
"181";2;5;6;9
"182";2;5;6;9
"183";2;5;6;9
"184";2;5;6;9
"185";2;5;6;9
"186";2;5;6;9
"187";2;5;6;9
"188";2;5;6;9
"189";2;5;6;9
"190";2;5;6;9
"191";2;5;6;9
"192";2;5;6;9
"193";2;5;6;9
"194";2;5;6;9
"195";2;5;6;9
"196";2;5;6;9
"197";2;5;6;9
"198";2;5;6;9
"199";2;5;6;9
"200";2;5;6;9
"201";2;5;6;8
"202";2;0;0;0
"203";2;5;6;9
"204";0;0;0;0
"205";2;5;6;9
"206";3;3;3;3
"207";2;5;6;9
"208";2;5;6;8
"209";2;5;6;9
"210";2;5;6;9
"211";3;3;3;3
"212";2;5;6;9
"213";2;5;6;9
"214";0;0;0;0
"215";2;4;4;4
"216";2;5;6;9
"217";2;5;6;9
"218";2;5;6;9
"219";0;0;0;0
"220";2;5;6;9
"221";2;5;6;9
"222";2;5;6;9
"223";2;5;6;9
"224";2;5;6;9
"225";2;5;6;9
"226";2;5;6;9
"227";2;5;6;9
"228";2;5;6;9
"229";2;5;6;8
"230";0;0;0;0
"231";2;0;0;0
"232";2;5;6;9
"233";2;5;6;9
