"";"";"";"";"éducation";""
"1";"éducation";"1.09372098585079";"0.502839728756813";"0.906340201162803";"43"
"2";"développement";"1.33080211053682";"0.708643087648255";"0.892775245498739";"45"
"3";"république";"1.33080211053682";"0.708643087648255";"0.876852202721869";"64"
"4";"mouvement";"1.33080211053682";"0.708643087648255";"0.8610601647846";"84"
"5";"protection";"1.33080211053682";"0.708643087648255";"0.8610601647846";"88"
"6";"programme";"1.33080211053682";"0.708643087648255";"0.8610601647846";"89"
"7";"information";"1.33080211053682";"0.708643087648255";"0.8610601647846";"90"
"8";"garder";"1.33080211053682";"0.708643087648255";"0.8610601647846";"91"
"9";"engager";"1.33080211053682";"0.708643087648255";"0.8610601647846";"92"
"10";"collectif";"1.33080211053682";"0.708643087648255";"0.8610601647846";"93"
"11";"accès";"1.33080211053682";"0.708643087648255";"0.8610601647846";"95"
"12";"tâche";"0.99211478955678";"0.41463828923191";"0.860095492783907";"96"
"13";"progressivement";"0.878074470999773";"0.552539158679049";"0.857272933967065";"106"
"14";"question";"0.935666902726774";"0.365637489495852";"0.845434860279549";"120"
"15";"élever";"1.33080211053682";"0.708643087648255";"0.845422950748676";"125"
"16";"régime";"1.33080211053682";"0.708643087648255";"0.845422950748676";"126"
"17";"porter";"1.33080211053682";"0.708643087648255";"0.845422950748676";"127"
"18";"partiel";"1.33080211053682";"0.708643087648255";"0.845422950748676";"128"
"19";"garçon";"1.33080211053682";"0.708643087648255";"0.845422950748676";"129"
"20";"désormais";"1.33080211053682";"0.708643087648255";"0.845422950748676";"130"
"21";"contraception";"1.33080211053682";"0.708643087648255";"0.845422950748676";"131"
"22";"citer";"1.33080211053682";"0.708643087648255";"0.845422950748676";"132"
"23";"arrêter";"1.33080211053682";"0.708643087648255";"0.845422950748676";"133"
"24";"décision";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"136"
"25";"à_juste_titre";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"137"
"26";"traitement";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"138"
"27";"simple";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"139"
"28";"réduction";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"140"
"29";"présenter";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"142"
"30";"pierremauroy";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"143"
"31";"concrétiser";"-1.04000913632344";"-1.34939050126616";"0.844625012180202";"146"
"32";"nombre";"-0.644873928513396";"-1.00638490311376";"0.844339183439256";"147"
"33";"mener";"-0.644873928513396";"-1.00638490311376";"0.844339183439256";"148"
"34";"réforme";"-0.644873928513396";"-1.00638490311376";"0.844339183439256";"149"
"35";"réduire";"1.44278224827923";"0.995366662255774";"0.841695267585505";"155"
"36";"possible";"1.44278224827923";"0.995366662255774";"0.841695267585505";"156"
"37";"personnel";"0.968619998907182";"0.58375994447289";"0.841695267585505";"157"
"38";"partir";"0.968619998907182";"0.58375994447289";"0.841695267585505";"158"
"39";"serment";"0.856639861164765";"0.297036369865371";"0.831357794787956";"166"
"40";"oeuvre";"0.856639861164765";"0.297036369865371";"0.831357794787956";"167"
"41";"choix";"0.856639861164765";"0.297036369865371";"0.831357794787956";"168"
"42";"respecter";"-0.565846886951388";"-0.93778378348328";"0.830536037157736";"174"
"43";"parler";"-0.565846886951388";"-0.93778378348328";"0.830536037157736";"175"
"44";"moyen";"-0.565846886951388";"-0.93778378348328";"0.830536037157736";"176"
"45";"engagement";"-0.565846886951388";"-0.93778378348328";"0.830536037157736";"177"
"46";"commencer";"-0.565846886951388";"-0.93778378348328";"0.830536037157736";"179"
"47";"affirmer";"-0.565846886951388";"-0.93778378348328";"0.830536037157736";"180"
"48";"ministre";"-0.249738720703354";"-0.663379304961357";"0.829559455626171";"187"
"49";"société";"-0.193290833873348";"-0.6143785052253";"0.827713478340894";"189"
"50";"politique";"0.573413115713155";"-0.0834460977215073";"0.826820263525438";"190"
"51";"homme";"-0.150954918750843";"-0.577627905423256";"0.826462977599255";"191"
"52";"particulier";"-0.249738720703354";"-0.663379304961357";"0.821687255719282";"192"
"53";"rester";"-0.177895955646983";"-0.601014650751829";"0.819912735619241";"195"
"54";"gouvernement";"-0.128158656761803";"-0.557839120914464";"0.818805149248076";"197"
"55";"choisir";"0.738099298821752";"0.19413469041965";"0.818233491766183";"198"
"56";"conjoint";"0.738099298821752";"0.19413469041965";"0.818233491766183";"199"
"57";"paraître";"0.738099298821752";"0.19413469041965";"0.818233491766183";"200"
"58";"féminin";"0.738099298821752";"0.19413469041965";"0.818233491766183";"201"
"59";"protéger";"-0.447306324608375";"-0.834882104037559";"0.817673743815164";"202"
"60";"législation";"-0.447306324608375";"-0.834882104037559";"0.817673743815164";"203"
"61";"inégalité";"-0.447306324608375";"-0.834882104037559";"0.817673743815164";"204"
"62";"gouvernemental";"-0.447306324608375";"-0.834882104037559";"0.817673743815164";"205"
"63";"doute";"-0.447306324608375";"-0.834882104037559";"0.817673743815164";"206"
"64";"appliquer";"-0.447306324608375";"-0.834882104037559";"0.817673743815164";"207"
"65";"chômage";"0.540531694916731";"0.022631891343449";"0.81462490391174";"209"
"66";"rôle";"-0.249738720703354";"-0.663379304961357";"0.814017517837229";"211"
"67";"établir";"0.540531694916731";"0.0226318913434489";"0.806859889782705";"214"
"68";"veiller";"0.540531694916731";"0.0226318913434489";"0.806859889782705";"215"
"69";"économique";"0.540531694916731";"0.0226318913434489";"0.806859889782705";"217"
"70";"simonedebeauvoir";"0.540531694916731";"0.0226318913434489";"0.806859889782705";"220"
"71";"réel";"0.540531694916731";"0.0226318913434489";"0.806859889782705";"221"
"72";"renforcer";"0.540531694916731";"0.0226318913434489";"0.806859889782705";"222"
"73";"nombreux";"0.540531694916731";"0.0226318913434489";"0.806859889782705";"223"
"74";"ligne";"0.540531694916731";"0.0226318913434489";"0.806859889782705";"224"
"75";"yvetteroudy";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"226"
"76";"vrai";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"227"
"77";"terme";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"228"
"78";"suffire";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"229"
"79";"réserver";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"230"
"80";"respect";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"231"
"81";"présent";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"232"
"82";"préparer";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"233"
"83";"proposition";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"234"
"84";"pleinement";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"235"
"85";"nation";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"236"
"86";"mari";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"237"
"87";"marcher";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"238"
"88";"lever";"-0.249738720703354";"-0.663379304961357";"0.806562151510886";"239"
