"";"";"";"";"pouvoir";""
"1";"pouvoir";"0.389747990229409";"-0.0865899028646992";"0.867025972364381";"73"
"2";"c_est_à_dire";"0.738099298821753";"0.194134690419651";"0.853867067553736";"86"
"3";"pas";"-0.0646261747653972";"0.0229993309874473";"0.838808213920164";"96"
"4";"parce_que";"0.441747892964221";"-0.0631195081946518";"0.838526740020471";"97"
"5";"chacun";"0.441747892964221";"-0.0631195081946518";"0.838526740020471";"98"
"6";"un";"0.113615049861854";"0.00456376961942098";"0.836274948822927";"99"
"7";"alors";"0.382477611792714";"-0.114570347917512";"0.836274948822927";"100"
"8";"ces";"0.0402376221302877";"-0.05262602336235";"0.825262282497441";"108"
"9";"s";"0.297845285588261";"-0.152941549164168";"0.82501599283521";"109"
"10";"mêmes";"0.540531694916731";"0.022631891343449";"0.820266120777892";"115"
"11";"quand";"0.540531694916731";"0.022631891343449";"0.820266120777892";"116"
"12";"sous";"0.540531694916731";"0.022631891343449";"0.820266120777892";"118"
"13";"soi";"0.540531694916731";"0.022631891343449";"0.820266120777892";"119"
"14";"puisque";"0.540531694916731";"0.022631891343449";"0.820266120777892";"121"
"15";"partout";"0.540531694916731";"0.022631891343449";"0.820266120777892";"122"
"16";"fort";"0.540531694916731";"0.022631891343449";"0.820266120777892";"124"
"17";"bon";"0.540531694916731";"0.022631891343449";"0.820266120777892";"126"
"18";"plus";"0.306361611950548";"-0.21041495083973";"0.820055015353122";"127"
"19";"me";"-0.249738720703354";"-0.663379304961357";"0.819386514841351";"131"
"20";"comment";"-0.249738720703354";"-0.663379304961357";"0.819386514841351";"132"
"21";"autant";"-0.249738720703354";"-0.663379304961357";"0.819386514841351";"133"
"22";"cet";"0.382477611792714";"-0.114570347917512";"0.816642144319345";"134"
"23";"devoir";"0.114622489398747";"-0.0675118572926696";"0.816431038894575";"135"
"24";"pourquoi";"0.314740147596707";"-0.173371307600781";"0.815797722620266";"136"
"25";"madame";"-0.091684637579337";"-0.526177065700396";"0.815621801432958";"137"
"26";"dès";"-0.091684637579337";"-0.526177065700396";"0.815621801432958";"138"
"27";"cela";"-0.0239471733833297";"-0.467376106017127";"0.814601458546571";"140"
"28";"non";"0.354733053933284";"-0.0709700309552391";"0.812877430910952";"142"
"29";"les";"-0.113063867256709";"0.110656746280155";"0.812208930399181";"143"
"30";"aux";"-0.134511665302963";"0.00435509402462748";"0.807670163766633";"146"
"31";"mais";"0.0202186799306001";"0.348354000330422";"0.806509083930399";"147"
"32";"savoir";"0.0252820060535917";"0.243251375546532";"0.804820240532242";"148"
"33";"contre";"0.145396487106689";"-0.320373706808954";"0.804468398157625";"149"
"34";"faire";"-0.136198879485164";"0.110996916871636";"0.803623976458547";"150"
"35";"mme";"0.145396487106689";"-0.320373706808954";"0.80109071136131";"152"
"36";"autres";"-0.23711567546831";"0.14808590381345";"0.800246289662231";"153"
"37";"très";"0.145396487106689";"-0.320373706808954";"0.8";"154"
"38";"deux";"0.145396487106689";"-0.320373706808954";"0.8";"155"
