"";"banalfreq";"X.loc_chirac";"X.loc_hollande";"X.loc_mitterand"
"premier";18;-1;-1;1
"droit";52;-1;-1;1
"mettre";15;1;-2;1
"social";14;1;-1;1
"société";14;-1;-1;1
"agir";21;-1;2;-2
"seulement";10;-1;1;1
"ministre";16;-1;-1;1
"gouvernement";13;-1;-1;2
"prendre";20;1;1;-1
"voir";11;-1;-2;2
"année";11;-1;-2;2
"égalité";21;1;-1;1
"professionnel";18;-1;-1;2
"homme";17;-1;1;-1
"vie";17;1;-2;1
"éducation";10;-1;1;1
"enfant";15;-1;1;1
"aller";12;-1;-1;2
"grand";10;2;-1;-1
"cas";12;-1;-1;1
"état";10;-1;-1;2
"lutte";10;1;1;-1
"politique";16;-1;-1;1
"simplement";11;1;1;-1
"liberté";14;-1;1;-1
"famille";10;1;-1;1
"familial";11;-1;-1;1
"ensemble";15;2;-1;-1
"penser";10;-1;2;-2
"loi";20;1;-1;-1
"pays";16;-1;2;-1
